2025-11-03 02:19:08,108 INFO    Thread-98 (_run_job):16860 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_setup.py:_flush():81] Configure stats pid to 16860
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_setup.py:_flush():81] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_setup.py:_flush():81] Loading settings from D:\Assignment\dl_assignment\wandb\settings
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_init.py:setup_run_log_directory():706] Logging user logs to D:\Assignment\dl_assignment\wandb\run-20251103_021908-mjeaaqxf\logs\debug.log
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to D:\Assignment\dl_assignment\wandb\run-20251103_021908-mjeaaqxf\logs\debug-internal.log
2025-11-03 02:19:08,109 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():833] calling init triggers
2025-11-03 02:19:08,110 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():838] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'nadam', 'weight_decay': 0.0005, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-11-03 02:19:08,110 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():881] starting backend
2025-11-03 02:19:10,368 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():884] sending inform_init request
2025-11-03 02:19:10,374 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():892] backend started and connected
2025-11-03 02:19:10,374 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_config_callback():1390] config_cb None None {'activation': 'tanh', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'nadam', 'weight_decay': 0.0005, 'weight_init': 'xavier'}
2025-11-03 02:19:10,377 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():962] updated telemetry
2025-11-03 02:19:10,422 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-03 02:19:11,226 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():1033] starting run threads in backend
2025-11-03 02:19:11,415 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_console_start():2506] atexit reg
2025-11-03 02:19:11,415 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-03 02:19:11,415 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-03 02:19:11,415 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-03 02:19:11,416 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-03 02:19:11,432 INFO    Thread-98 (_run_job):16860 [wandb_init.py:setup_run_log_directory():706] Logging user logs to D:\Assignment\dl_assignment\wandb\run-20251103_021911-mjeaaqxf\logs\debug.log
2025-11-03 02:19:11,432 INFO    Thread-98 (_run_job):16860 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to D:\Assignment\dl_assignment\wandb\run-20251103_021911-mjeaaqxf\logs\debug-internal.log
2025-11-03 02:19:11,432 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():833] calling init triggers
2025-11-03 02:19:11,432 INFO    Thread-98 (_run_job):16860 [wandb_init.py:init():838] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'nadam', 'weight_decay': 0.0005, 'weight_init': 'xavier'}
config: {'activation': 'tanh', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': 64, 'learning_rate': 0.0001, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'nadam', 'weight_decay': 0.0005, 'weight_init': 'xavier', '_wandb': {}}
2025-11-03 02:21:04,036 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_finish():2272] finishing run vikashmehta292511-lnct-group-of-college/dl_assignment/mjeaaqxf
2025-11-03 02:21:04,037 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_atexit_cleanup():2471] got exitcode: 1
2025-11-03 02:21:04,037 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_restore():2453] restore
2025-11-03 02:21:04,037 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_restore():2459] restore done
2025-11-03 02:21:06,604 INFO    Thread-98 (_run_job):16860 [wandb_run.py:_footer_sync_info():3835] logging synced files
